usage_date,mac_id,resource_category,total_cost_inr,resource_count
2026-01-02,MAC-04,Compute,1381.39,2
2026-01-02,MAC-05,Compute,1135.09,2
2026-01-02,MAC-05,Networking,446.87,2
2026-01-02,MAC-05,Data Services,714.58,2
2026-01-02,MAC-05,Storage,451.6,2
2026-01-02,MAC-06,Storage,756.99,2
2026-01-02,MAC-06,Data Services,798.07,2
2026-01-02,MAC-06,Compute,2404.78,2
2026-01-02,MAC-06,Networking,657.68,2
2026-01-02,MAC-07,Storage,880.79,2
2026-01-02,MAC-07,Networking,376.3,2
2026-01-02,MAC-07,Compute,2168.04,2
2026-01-02,MAC-07,Data Services,1372.46,2
2026-01-02,MAC-08,Data Services,823.94,2
2026-01-02,MAC-08,Networking,208.54,2
2026-01-02,MAC-08,Compute,710.82,2
2026-01-02,MAC-08,Storage,528.43,2
2026-01-03,MAC-01,Storage,591.47,2
2026-01-03,MAC-01,Networking,443.13,2
2026-01-03,MAC-01,Compute,2404.81,2
2026-01-03,MAC-01,Data Services,768.13,2
2026-01-03,MAC-02,Compute,1564.7,2
2026-01-03,MAC-02,Data Services,1790.48,2
2026-01-03,MAC-02,Networking,339.47,2
2026-01-03,MAC-02,Storage,1107.24,2
2026-01-03,MAC-03,Storage,365.87,2
2026-01-03,MAC-03,Networking,214.15,2
2026-01-03,MAC-03,Data Services,540.34,2
2026-01-03,MAC-03,Compute,1205.16,2
2026-01-03,MAC-04,Data Services,728.71,2
2026-01-03,MAC-04,Networking,304.28,2
2026-01-03,MAC-04,Compute,1283.34,2
2026-01-03,MAC-04,Storage,596.94,2
2026-01-03,MAC-05,Networking,432.83,2
2026-01-03,MAC-05,Data Services,686.9,2
2026-01-03,MAC-05,Compute,1203.34,2
2026-01-03,MAC-05,Storage,491.01,2
2026-01-03,MAC-06,Networking,726.63,2
2026-01-03,MAC-06,Data Services,838.76,2
2026-01-03,MAC-06,Compute,2682.66,2
2026-01-03,MAC-06,Storage,796.55,2
2026-01-03,MAC-07,Storage,966.64,2
2026-01-03,MAC-07,Networking,376.62,2
2026-01-03,MAC-07,Data Services,1376.57,2
2026-01-03,MAC-07,Compute,2375.89,2
2026-01-03,MAC-08,Networking,217.19,2
2026-01-03,MAC-08,Compute,758.14,2
2026-01-03,MAC-08,Data Services,917.63,2
2026-01-03,MAC-08,Storage,467.1,2
2026-01-04,MAC-01,Compute,2263.45,2
2026-01-04,MAC-01,Networking,431.77,2
2026-01-04,MAC-01,Data Services,705.47,2
2026-01-04,MAC-01,Storage,602.75,2
2026-01-04,MAC-02,Networking,373.94,2
2026-01-04,MAC-02,Data Services,1742.32,2
2026-01-04,MAC-02,Compute,1747.63,2
2026-01-04,MAC-02,Storage,1225.47,2
2026-01-04,MAC-03,Storage,354.38,2
2026-01-04,MAC-03,Data Services,516.37,2
2026-01-04,MAC-03,Networking,226.62,2
2026-01-04,MAC-03,Compute,1187.23,2
2026-01-04,MAC-04,Data Services,740.0,2
2026-01-04,MAC-04,Networking,302.1,2
2026-01-04,MAC-04,Compute,1260.09,2
2026-01-04,MAC-04,Storage,489.26,2
2026-01-04,MAC-05,Compute,1148.23,2
2026-01-04,MAC-05,Storage,519.7,2
2026-01-04,MAC-05,Data Services,610.28,2
2026-01-04,MAC-05,Networking,495.21,2
2026-01-04,MAC-06,Networking,676.6,2
2026-01-04,MAC-06,Data Services,793.64,2
2026-01-04,MAC-06,Compute,2571.89,2
2026-01-04,MAC-06,Storage,790.46,2
2026-01-04,MAC-07,Networking,405.93,2
2026-01-04,MAC-07,Compute,2440.48,2
2026-01-04,MAC-07,Data Services,1299.44,2
2026-01-04,MAC-07,Storage,890.58,2
2026-01-04,MAC-08,Data Services,820.85,2
2026-01-04,MAC-08,Networking,232.01,2
2026-01-04,MAC-08,Storage,466.04,2
2026-01-04,MAC-08,Compute,808.14,2
2026-01-05,MAC-01,Data Services,715.02,2
2026-01-05,MAC-01,Networking,470.27,2
2026-01-05,MAC-01,Compute,2453.81,2
2026-01-05,MAC-01,Storage,626.6,2
2026-01-05,MAC-02,Storage,1134.56,2
2026-01-05,MAC-02,Networking,356.21,2
2026-01-05,MAC-02,Compute,1646.45,2
2026-01-05,MAC-02,Data Services,1917.53,2
2026-01-05,MAC-03,Data Services,545.99,2
2026-01-05,MAC-03,Networking,220.29,2
2026-01-05,MAC-03,Compute,1004.51,2
2026-01-05,MAC-03,Storage,365.48,2
2026-01-05,MAC-04,Data Services,804.67,2
2026-01-05,MAC-04,Networking,326.33,2
2026-01-05,MAC-04,Compute,1463.19,2
2026-01-05,MAC-04,Storage,569.11,2
2026-01-05,MAC-05,Storage,458.13,2
2026-01-05,MAC-05,Networking,416.92,2
2026-01-05,MAC-05,Data Services,688.26,2
2026-01-05,MAC-05,Compute,1105.33,2
2026-01-05,MAC-06,Data Services,883.74,2
2026-01-05,MAC-06,Networking,691.68,2
2026-01-05,MAC-06,Storage,765.95,2
2026-01-05,MAC-06,Compute,2473.0,2
2026-01-05,MAC-07,Networking,360.29,2
2026-01-05,MAC-07,Storage,962.01,2
2026-01-05,MAC-07,Data Services,1366.64,2
2026-01-05,MAC-07,Compute,2470.88,2
2026-01-05,MAC-08,Networking,261.62,2
2026-01-05,MAC-08,Compute,717.78,2
2026-01-05,MAC-08,Storage,467.31,2
2026-01-05,MAC-08,Data Services,786.8,2
2026-01-06,MAC-01,Storage,570.57,2
2026-01-06,MAC-01,Networking,416.68,2
2026-01-06,MAC-01,Data Services,788.85,2
2026-01-06,MAC-01,Compute,1993.28,2
2026-01-06,MAC-02,Compute,1572.63,2
2026-01-06,MAC-02,Networking,336.56,2
2026-01-06,MAC-02,Data Services,1781.1,2
2026-01-06,MAC-02,Storage,1082.78,2
2026-01-06,MAC-03,Networking,249.31,2
2026-01-06,MAC-03,Compute,1144.96,2
2026-01-06,MAC-03,Storage,364.4,2
2026-01-06,MAC-03,Data Services,501.54,2
2026-01-06,MAC-04,Compute,1322.46,2
2026-01-06,MAC-04,Storage,483.03,2
2026-01-06,MAC-04,Networking,303.38,2
2026-01-06,MAC-04,Data Services,794.77,2
2026-01-06,MAC-05,Data Services,632.64,2
2026-01-06,MAC-05,Compute,1020.98,2
2026-01-06,MAC-05,Networking,412.94,2
2026-01-06,MAC-05,Storage,473.87,2
2026-01-06,MAC-06,Networking,667.94,2
2026-01-06,MAC-06,Storage,746.23,2
2026-01-06,MAC-06,Data Services,867.49,2
2026-01-06,MAC-06,Compute,2672.2,2
2026-01-06,MAC-07,Storage,914.82,2
2026-01-06,MAC-07,Data Services,1526.89,2
2026-01-06,MAC-07,Networking,387.12,2
2026-01-06,MAC-07,Compute,2369.76,2
2026-01-06,MAC-08,Storage,548.41,2
2026-01-06,MAC-08,Data Services,865.05,2
2026-01-06,MAC-08,Networking,245.59,2
2026-01-06,MAC-08,Compute,799.81,2
2026-01-07,MAC-01,Compute,2116.9,2
2026-01-07,MAC-01,Networking,396.8,2
2026-01-07,MAC-01,Data Services,865.26,2
2026-01-07,MAC-01,Storage,572.93,2
2026-01-07,MAC-02,Data Services,2006.35,2
2026-01-07,MAC-02,Networking,330.86,2
2026-01-07,MAC-02,Storage,1099.19,2
2026-01-07,MAC-02,Compute,1823.23,2
2026-01-07,MAC-03,Networking,217.34,2
2026-01-07,MAC-03,Data Services,461.66,2
2026-01-07,MAC-03,Storage,356.41,2
2026-01-07,MAC-03,Compute,992.1,2
2026-01-07,MAC-04,Compute,1436.63,2
2026-01-07,MAC-04,Networking,323.81,2
2026-01-07,MAC-04,Storage,484.71,2
2026-01-07,MAC-04,Data Services,851.04,2
2026-01-07,MAC-05,Data Services,609.05,2
2026-01-07,MAC-05,Compute,1060.72,2
2026-01-07,MAC-05,Storage,494.33,2
2026-01-07,MAC-05,Networking,434.25,2
2026-01-07,MAC-06,Compute,2625.84,2
2026-01-07,MAC-06,Storage,742.83,2
2026-01-07,MAC-06,Data Services,880.15,2
2026-01-07,MAC-06,Networking,607.29,2
2026-01-07,MAC-07,Networking,377.11,2
2026-01-07,MAC-07,Data Services,1377.85,2
2026-01-07,MAC-07,Storage,889.48,2
2026-01-07,MAC-07,Compute,2722.69,2
2026-01-07,MAC-08,Compute,822.76,2
2026-01-07,MAC-08,Networking,231.09,2
2026-01-07,MAC-08,Data Services,825.38,2
2026-01-07,MAC-08,Storage,511.09,2
2026-01-08,MAC-01,Networking,482.95,2
2026-01-08,MAC-01,Compute,2272.9,2
2026-01-08,MAC-01,Storage,595.73,2
2026-01-08,MAC-01,Data Services,887.62,2
2026-01-08,MAC-02,Data Services,1617.15,2
2026-01-08,MAC-02,Compute,1748.13,2
2026-01-08,MAC-02,Storage,1187.22,2
2026-01-08,MAC-02,Networking,306.64,2
2026-01-08,MAC-03,Storage,384.08,2
2026-01-08,MAC-03,Networking,245.27,2
2026-01-08,MAC-03,Compute,1152.15,2
2026-01-08,MAC-03,Data Services,474.23,2
2026-01-08,MAC-04,Data Services,798.87,2
2026-01-08,MAC-04,Networking,350.42,2
2026-01-08,MAC-04,Compute,1443.25,2
2026-01-08,MAC-04,Storage,576.63,2
2026-01-08,MAC-05,Storage,473.13,2
2026-01-08,MAC-05,Networking,411.77,2
2026-01-08,MAC-05,Data Services,694.9,2
2026-01-08,MAC-05,Compute,1195.31,2
2026-01-08,MAC-06,Data Services,915.18,2
2026-01-08,MAC-06,Networking,733.78,2
2026-01-08,MAC-06,Compute,2484.17,2
2026-01-08,MAC-06,Storage,730.78,2
2026-01-08,MAC-07,Networking,382.05,2
2026-01-08,MAC-07,Data Services,1353.4,2
2026-01-08,MAC-07,Compute,2295.95,2
2026-01-08,MAC-07,Storage,922.8,2
2026-01-08,MAC-08,Networking,233.18,2
2026-01-08,MAC-08,Compute,805.08,2
2026-01-08,MAC-08,Data Services,864.63,2
2026-01-08,MAC-08,Storage,493.13,2
2026-01-09,MAC-01,Data Services,798.27,2
2026-01-09,MAC-01,Networking,495.82,2
2026-01-09,MAC-01,Compute,2276.16,2
2026-01-09,MAC-01,Storage,612.71,2
2026-01-09,MAC-02,Networking,358.86,2
2026-01-09,MAC-02,Compute,1834.36,2
2026-01-09,MAC-02,Data Services,1753.48,2
2026-01-09,MAC-02,Storage,1234.06,2
2026-01-09,MAC-03,Storage,326.58,2
2026-01-09,MAC-03,Networking,216.92,2
2026-01-09,MAC-03,Data Services,467.62,2
2026-01-09,MAC-03,Compute,1144.82,2
2026-01-09,MAC-04,Networking,308.04,2
2026-01-09,MAC-04,Compute,1406.05,2
2026-01-09,MAC-04,Data Services,749.9,2
2026-01-09,MAC-04,Storage,580.15,2
2026-01-09,MAC-05,Compute,1056.28,2
2026-01-09,MAC-05,Networking,456.33,2
2026-01-09,MAC-05,Storage,483.63,2
2026-01-09,MAC-05,Data Services,676.42,2
2026-01-09,MAC-06,Data Services,861.27,2
2026-01-09,MAC-06,Storage,849.14,2
2026-01-09,MAC-06,Compute,2404.06,2
2026-01-09,MAC-06,Networking,747.98,2
2026-01-09,MAC-07,Networking,405.86,2
2026-01-09,MAC-07,Compute,2302.38,2
2026-01-09,MAC-07,Storage,953.86,2
2026-01-09,MAC-07,Data Services,1352.5,2
2026-01-09,MAC-08,Compute,772.52,2
2026-01-09,MAC-08,Storage,502.24,2
2026-01-09,MAC-08,Data Services,812.93,2
2026-01-09,MAC-08,Networking,242.42,2
2026-01-10,MAC-01,Data Services,768.49,2
2026-01-10,MAC-01,Networking,410.9,2
2026-01-10,MAC-01,Storage,567.39,2
2026-01-10,MAC-01,Compute,2361.44,2
2026-01-10,MAC-02,Networking,346.78,2
2026-01-10,MAC-02,Data Services,1741.96,2
2026-01-10,MAC-02,Storage,1212.82,2
2026-01-10,MAC-02,Compute,1799.94,2
2026-01-10,MAC-03,Compute,1122.17,2
2026-01-10,MAC-03,Data Services,518.13,2
2026-01-10,MAC-03,Networking,234.49,2
2026-01-10,MAC-03,Storage,386.84,2
2026-01-10,MAC-04,Networking,334.7,2
2026-01-10,MAC-04,Data Services,762.75,2
2026-01-10,MAC-04,Compute,1474.83,2
2026-01-10,MAC-04,Storage,507.54,2
2026-01-10,MAC-05,Storage,529.33,2
2026-01-10,MAC-05,Networking,450.7,2
2026-01-10,MAC-05,Compute,1032.62,2
2026-01-10,MAC-05,Data Services,647.03,2
2026-01-10,MAC-06,Storage,790.56,2
2026-01-10,MAC-06,Compute,2753.98,2
2026-01-10,MAC-06,Networking,779.94,2
2026-01-10,MAC-06,Data Services,827.52,2
2026-01-10,MAC-07,Storage,1029.75,2
2026-01-10,MAC-07,Data Services,1449.2,2
2026-01-10,MAC-07,Compute,2561.48,2
2026-01-10,MAC-07,Networking,406.15,2
2026-01-10,MAC-08,Storage,447.47,2
2026-01-10,MAC-08,Data Services,872.7,2
2026-01-10,MAC-08,Compute,785.18,2
2026-01-10,MAC-08,Networking,227.32,2
2026-01-11,MAC-01,Storage,527.83,2
2026-01-11,MAC-01,Networking,468.66,2
2026-01-11,MAC-01,Compute,2249.6,2
2026-01-11,MAC-01,Data Services,856.23,2
2026-01-11,MAC-02,Storage,1109.38,2
2026-01-11,MAC-02,Compute,1713.89,2
2026-01-11,MAC-02,Data Services,1817.4,2
2026-01-11,MAC-02,Networking,343.42,2
2026-01-11,MAC-03,Storage,351.42,2
2026-01-11,MAC-03,Compute,1128.55,2
2026-01-11,MAC-03,Data Services,513.84,2
2026-01-11,MAC-03,Networking,230.88,2
2026-01-11,MAC-04,Data Services,841.64,2
2026-01-11,MAC-04,Storage,587.48,2
2026-01-11,MAC-04,Networking,326.09,2
2026-01-11,MAC-04,Compute,1513.19,2
2026-01-11,MAC-05,Compute,971.75,2
2026-01-11,MAC-05,Networking,475.26,2
2026-01-11,MAC-05,Data Services,675.34,2
2026-01-11,MAC-05,Storage,433.3,2
2026-01-11,MAC-06,Networking,675.07,2
2026-01-11,MAC-06,Compute,2840.94,2
2026-01-11,MAC-06,Data Services,838.39,2
2026-01-11,MAC-06,Storage,794.33,2
2026-01-11,MAC-07,Compute,2318.46,2
2026-01-11,MAC-07,Networking,397.72,2
2026-01-11,MAC-07,Data Services,1514.78,2
2026-01-11,MAC-07,Storage,981.1,2
2026-01-11,MAC-08,Data Services,842.24,2
2026-01-11,MAC-08,Storage,485.24,2
2026-01-11,MAC-08,Compute,739.99,2
2026-01-11,MAC-08,Networking,253.33,2
2026-01-12,MAC-01,Storage,634.94,2
2026-01-12,MAC-01,Data Services,862.94,2
2026-01-12,MAC-01,Compute,2555.71,2
2026-01-12,MAC-01,Networking,478.01,2
2026-01-12,MAC-02,Storage,1208.97,2
2026-01-12,MAC-02,Data Services,1791.51,2
2026-01-12,MAC-02,Networking,316.16,2
2026-01-12,MAC-02,Compute,1974.87,2
2026-01-12,MAC-03,Networking,207.47,2
2026-01-12,MAC-03,Data Services,550.53,2
2026-01-12,MAC-03,Compute,1048.52,2
2026-01-12,MAC-03,Storage,323.93,2
2026-01-12,MAC-04,Data Services,802.17,2
2026-01-12,MAC-04,Networking,342.12,2
2026-01-12,MAC-04,Compute,1327.73,2
2026-01-12,MAC-04,Storage,556.68,2
2026-01-12,MAC-05,Storage,526.89,2
2026-01-12,MAC-05,Compute,957.67,2
2026-01-12,MAC-05,Networking,480.92,2
2026-01-12,MAC-05,Data Services,685.34,2
2026-01-12,MAC-06,Networking,659.7,2
2026-01-12,MAC-06,Storage,763.23,2
2026-01-12,MAC-06,Compute,2701.71,2
2026-01-12,MAC-06,Data Services,783.22,2
2026-01-12,MAC-07,Storage,932.96,2
2026-01-12,MAC-07,Compute,2382.07,2
2026-01-12,MAC-07,Data Services,1514.59,2
2026-01-12,MAC-07,Networking,362.89,2
2026-01-12,MAC-08,Compute,732.43,2
2026-01-12,MAC-08,Networking,221.7,2
2026-01-12,MAC-08,Storage,477.53,2
2026-01-12,MAC-08,Data Services,785.21,2
2026-01-13,MAC-01,Data Services,892.61,2
2026-01-13,MAC-01,Storage,627.39,2
2026-01-13,MAC-01,Compute,2356.22,2
2026-01-13,MAC-01,Networking,483.97,2
2026-01-13,MAC-02,Data Services,1649.57,2
2026-01-13,MAC-02,Networking,358.32,2
2026-01-13,MAC-02,Compute,1728.96,2
2026-01-13,MAC-02,Storage,1213.6,2
2026-01-13,MAC-03,Compute,1003.86,2
2026-01-13,MAC-03,Data Services,516.52,2
2026-01-13,MAC-03,Networking,246.55,2
2026-01-13,MAC-03,Storage,350.02,2
2026-01-13,MAC-04,Compute,1298.32,2
2026-01-13,MAC-04,Data Services,741.1,2
2026-01-13,MAC-04,Storage,532.43,2
2026-01-13,MAC-04,Networking,345.78,2
2026-01-13,MAC-05,Networking,461.76,2
2026-01-13,MAC-05,Data Services,736.41,2
2026-01-13,MAC-05,Compute,1065.28,2
2026-01-13,MAC-05,Storage,509.4,2
2026-01-13,MAC-06,Storage,836.83,2
2026-01-13,MAC-06,Compute,2743.66,2
2026-01-13,MAC-06,Networking,659.77,2
2026-01-13,MAC-06,Data Services,887.8,2
2026-01-13,MAC-07,Storage,971.94,2
2026-01-13,MAC-07,Compute,2539.18,2
2026-01-13,MAC-07,Networking,368.99,2
2026-01-13,MAC-07,Data Services,1315.12,2
2026-01-13,MAC-08,Networking,232.08,2
2026-01-13,MAC-08,Compute,719.31,2
2026-01-13,MAC-08,Data Services,838.51,2
2026-01-13,MAC-08,Storage,466.04,2
2026-01-14,MAC-01,Storage,521.77,2
2026-01-14,MAC-01,Compute,2455.23,2
2026-01-14,MAC-01,Networking,458.08,2
2026-01-14,MAC-01,Data Services,822.57,2
2026-01-14,MAC-02,Compute,1959.14,2
2026-01-14,MAC-02,Data Services,1925.07,2
2026-01-14,MAC-02,Networking,383.69,2
2026-01-14,MAC-02,Storage,1206.72,2
2026-01-14,MAC-03,Storage,324.96,2
2026-01-14,MAC-03,Data Services,481.09,2
2026-01-14,MAC-03,Compute,1058.7,2
2026-01-14,MAC-03,Networking,214.93,2
2026-01-14,MAC-04,Compute,1410.92,2
2026-01-14,MAC-04,Networking,346.17,2
2026-01-14,MAC-04,Data Services,740.56,2
2026-01-14,MAC-04,Storage,548.01,2
2026-01-14,MAC-05,Networking,468.61,2
2026-01-14,MAC-05,Compute,1080.13,2
2026-01-14,MAC-05,Data Services,649.59,2
2026-01-14,MAC-05,Storage,420.41,2
2026-01-14,MAC-06,Compute,2675.68,2
2026-01-14,MAC-06,Storage,732.7,2
2026-01-14,MAC-06,Data Services,843.53,2
2026-01-14,MAC-06,Networking,663.07,2
2026-01-14,MAC-07,Data Services,1304.09,2
2026-01-14,MAC-07,Networking,401.44,2
2026-01-14,MAC-07,Compute,2235.8,2
2026-01-14,MAC-07,Storage,1069.08,2
2026-01-14,MAC-08,Networking,237.78,2
2026-01-14,MAC-08,Storage,490.2,2
2026-01-14,MAC-08,Data Services,830.52,2
2026-01-14,MAC-08,Compute,766.5,2
2026-01-15,MAC-01,Networking,482.39,2
2026-01-15,MAC-01,Data Services,775.19,2
2026-01-15,MAC-01,Storage,553.71,2
2026-01-15,MAC-01,Compute,2171.15,2
2026-01-15,MAC-02,Storage,1023.91,2
2026-01-15,MAC-02,Networking,347.49,2
2026-01-15,MAC-02,Data Services,1764.51,2
2026-01-15,MAC-02,Compute,1702.09,2
2026-01-15,MAC-03,Networking,238.39,2
2026-01-15,MAC-03,Compute,1043.12,2
2026-01-15,MAC-03,Storage,374.39,2
2026-01-15,MAC-03,Data Services,550.07,2
2026-01-15,MAC-04,Compute,1404.18,2
2026-01-15,MAC-04,Data Services,710.9,2
2026-01-15,MAC-04,Networking,295.56,2
2026-01-15,MAC-04,Storage,557.6,2
2026-01-15,MAC-05,Storage,503.3,2
2026-01-15,MAC-05,Networking,418.04,2
2026-01-15,MAC-05,Compute,1047.52,2
2026-01-15,MAC-05,Data Services,676.2,2
2026-01-15,MAC-06,Networking,643.04,2
2026-01-15,MAC-06,Data Services,841.0,2
2026-01-15,MAC-06,Storage,816.74,2
2026-01-15,MAC-06,Compute,2912.26,2
2026-01-15,MAC-07,Compute,2576.84,2
2026-01-15,MAC-07,Networking,351.38,2
2026-01-15,MAC-07,Storage,1069.75,2
2026-01-15,MAC-07,Data Services,1338.23,2
2026-01-15,MAC-08,Data Services,835.04,2
2026-01-15,MAC-08,Networking,222.77,2
2026-01-15,MAC-08,Compute,791.52,2
2026-01-15,MAC-08,Storage,502.07,2
2026-01-16,MAC-01,Networking,457.95,2
2026-01-16,MAC-01,Data Services,850.29,2
2026-01-16,MAC-01,Storage,568.33,2
2026-01-16,MAC-01,Compute,2670.24,2
2026-01-16,MAC-02,Networking,343.74,2
2026-01-16,MAC-02,Compute,1700.85,2
2026-01-16,MAC-02,Storage,1217.57,2
2026-01-16,MAC-02,Data Services,1753.03,2
2026-01-16,MAC-03,Compute,1088.75,2
2026-01-16,MAC-03,Data Services,575.75,2
2026-01-16,MAC-03,Networking,245.25,2
2026-01-16,MAC-03,Storage,371.13,2
2026-01-16,MAC-04,Storage,486.68,2
2026-01-16,MAC-04,Compute,1369.85,2
2026-01-16,MAC-04,Data Services,696.78,2
2026-01-16,MAC-04,Networking,319.9,2
2026-01-16,MAC-05,Data Services,692.65,2
2026-01-16,MAC-05,Compute,1005.68,2
2026-01-16,MAC-05,Storage,445.65,2
2026-01-16,MAC-05,Networking,493.76,2
2026-01-16,MAC-06,Compute,2865.55,2
2026-01-16,MAC-06,Networking,691.38,2
2026-01-16,MAC-06,Data Services,758.74,2
2026-01-16,MAC-06,Storage,817.52,2
2026-01-16,MAC-07,Compute,2462.85,2
2026-01-16,MAC-07,Networking,382.93,2
2026-01-16,MAC-07,Storage,1005.29,2
2026-01-16,MAC-07,Data Services,1293.73,2
2026-01-16,MAC-08,Compute,813.33,2
2026-01-16,MAC-08,Data Services,840.71,2
2026-01-16,MAC-08,Networking,228.25,2
2026-01-16,MAC-08,Storage,513.39,2
2026-01-17,MAC-01,Compute,2361.63,2
2026-01-17,MAC-01,Storage,631.18,2
2026-01-17,MAC-01,Networking,474.11,2
2026-01-17,MAC-01,Data Services,867.64,2
2026-01-17,MAC-02,Compute,1753.97,2
2026-01-17,MAC-02,Data Services,1864.54,2
2026-01-17,MAC-02,Networking,342.75,2
2026-01-17,MAC-02,Storage,1223.65,2
2026-01-17,MAC-03,Networking,236.99,2
2026-01-17,MAC-03,Compute,1037.83,2
2026-01-17,MAC-03,Storage,380.67,2
2026-01-17,MAC-03,Data Services,558.26,2
2026-01-17,MAC-04,Compute,1246.87,2
2026-01-17,MAC-04,Data Services,796.68,2
2026-01-17,MAC-04,Networking,334.03,2
2026-01-17,MAC-04,Storage,526.65,2
2026-01-17,MAC-05,Data Services,636.72,2
2026-01-17,MAC-05,Networking,517.11,2
2026-01-17,MAC-05,Storage,458.73,2
2026-01-17,MAC-05,Compute,1073.36,2
2026-01-17,MAC-06,Storage,892.3,2
2026-01-17,MAC-06,Networking,756.33,2
2026-01-17,MAC-06,Data Services,756.18,2
2026-01-17,MAC-06,Compute,2760.93,2
2026-01-17,MAC-07,Storage,931.21,2
2026-01-17,MAC-07,Data Services,1304.05,2
2026-01-17,MAC-07,Compute,2438.99,2
2026-01-17,MAC-07,Networking,413.9,2
2026-01-17,MAC-08,Networking,224.88,2
2026-01-17,MAC-08,Data Services,847.05,2
2026-01-17,MAC-08,Storage,570.02,2
2026-01-17,MAC-08,Compute,761.44,2
2026-01-18,MAC-01,Compute,2347.02,2
2026-01-18,MAC-01,Networking,493.84,2
2026-01-18,MAC-01,Storage,547.97,2
2026-01-18,MAC-01,Data Services,868.37,2
2026-01-18,MAC-02,Compute,1574.02,2
2026-01-18,MAC-02,Data Services,2037.7,2
2026-01-18,MAC-02,Networking,318.94,2
2026-01-18,MAC-02,Storage,1233.91,2
2026-01-18,MAC-03,Storage,368.77,2
2026-01-18,MAC-03,Networking,229.83,2
2026-01-18,MAC-03,Compute,1122.61,2
2026-01-18,MAC-03,Data Services,485.27,2
2026-01-18,MAC-04,Compute,1268.86,2
2026-01-18,MAC-04,Networking,275.05,2
2026-01-18,MAC-04,Data Services,846.66,2
2026-01-18,MAC-04,Storage,546.29,2
2026-01-18,MAC-05,Storage,487.16,2
2026-01-18,MAC-05,Data Services,681.55,2
2026-01-18,MAC-05,Compute,1129.84,2
2026-01-18,MAC-05,Networking,465.96,2
2026-01-18,MAC-06,Data Services,943.54,2
2026-01-18,MAC-06,Storage,815.73,2
2026-01-18,MAC-06,Compute,2831.47,2
2026-01-18,MAC-06,Networking,651.33,2
2026-01-18,MAC-07,Data Services,1311.08,2
2026-01-18,MAC-07,Networking,402.65,2
2026-01-18,MAC-07,Compute,2117.84,2
2026-01-18,MAC-07,Storage,1019.71,2
2026-01-18,MAC-08,Compute,840.53,2
2026-01-18,MAC-08,Networking,215.32,2
2026-01-18,MAC-08,Data Services,950.21,2
2026-01-18,MAC-08,Storage,517.36,2
2026-01-19,MAC-01,Compute,2436.97,2
2026-01-19,MAC-01,Data Services,807.66,2
2026-01-19,MAC-01,Networking,445.36,2
2026-01-19,MAC-01,Storage,589.77,2
2026-01-19,MAC-02,Storage,1199.97,2
2026-01-19,MAC-02,Networking,377.36,2
2026-01-19,MAC-02,Compute,1770.74,2
2026-01-19,MAC-02,Data Services,1838.65,2
2026-01-19,MAC-03,Data Services,461.65,2
2026-01-19,MAC-03,Storage,399.93,2
2026-01-19,MAC-03,Compute,1159.52,2
2026-01-19,MAC-03,Networking,243.86,2
2026-01-19,MAC-04,Storage,615.55,2
2026-01-19,MAC-04,Networking,315.35,2
2026-01-19,MAC-04,Data Services,718.56,2
