detection_date,mac_id,team,category,daily_cost,rolling_mean,pct_deviation,direction
2026-03-10,MAC-03,Product,Compute,780.0,663.18,17.6,spike
2026-01-31,MAC-08,Operations,Networking,155.98,132.63,17.6,spike
2026-03-06,MAC-03,Frontend,Storage,190.39,161.97,17.5,spike
2026-03-22,MAC-04,Backend,Storage,463.16,394.15,17.5,spike
2026-02-10,MAC-04,QA,Storage,220.53,187.71,17.5,spike
2026-02-24,MAC-06,CloudOps,Storage,478.52,407.39,17.5,spike
2026-02-02,MAC-07,ML,Data Services,837.23,712.47,17.5,spike
2026-03-15,MAC-08,Operations,Data Services,491.96,418.61,17.5,spike
2026-03-10,MAC-01,DevOps,Storage,382.86,326.29,17.3,spike
2026-03-11,MAC-02,Analytics,Storage,694.33,593.19,17.1,spike
2026-03-30,MAC-06,CloudOps,Data Services,531.74,454.41,17.0,spike
2026-01-22,MAC-08,Finance,Data Services,538.6,461.62,16.7,spike
2026-03-09,MAC-05,Compliance,Storage,280.14,240.2,16.6,spike
2026-03-11,MAC-03,Product,Networking,153.61,131.89,16.5,spike
2026-03-01,MAC-03,Product,Storage,252.07,216.33,16.5,spike
2026-01-16,MAC-03,Frontend,Data Services,231.38,198.72,16.4,spike
2026-03-06,MAC-01,DevOps,Storage,375.78,322.99,16.3,spike
2026-03-28,MAC-07,Research,Data Services,866.26,745.14,16.3,spike
2026-02-26,MAC-02,Analytics,Networking,199.32,171.51,16.2,spike
2026-02-28,MAC-03,Product,Networking,153.58,132.13,16.2,spike
2026-02-01,MAC-02,Analytics,Storage,660.77,568.96,16.1,spike
2026-03-13,MAC-08,Operations,Data Services,483.15,416.52,16.0,spike
2026-03-05,MAC-06,Infrastructure,Networking,452.97,391.09,15.8,spike
2026-03-30,MAC-07,Research,Data Services,870.16,751.34,15.8,spike
2026-01-14,MAC-04,QA,Compute,454.03,392.55,15.7,spike
2026-02-18,MAC-05,Compliance,Data Services,366.0,316.94,15.5,spike
2026-03-13,MAC-02,Analytics,Networking,206.46,179.21,15.2,spike
2026-03-22,MAC-07,ML,Storage,661.16,574.15,15.2,spike
2026-03-14,MAC-02,Analytics,Networking,207.94,181.0,14.9,spike
2026-03-16,MAC-06,CloudOps,Data Services,519.26,453.34,14.5,spike
2026-02-28,MAC-08,Operations,Data Services,465.83,408.34,14.1,spike
2026-03-05,MAC-08,Operations,Data Services,470.38,413.96,13.6,spike
2026-01-30,MAC-03,Frontend,Networking,121.35,108.05,12.3,spike
2026-01-23,MAC-03,Frontend,Networking,94.86,107.34,-11.6,drop
2026-01-17,MAC-05,Compliance,Compute,308.31,369.01,-16.4,drop
